chunk,runtime_seconds,num_predicted_masks,num_ground_truth_masks,count_error,dice,semantic_iou,true_positives_iou001,false_positives_iou001,false_negatives_iou001,precision_iou001,recall_iou001,f1_iou001,mean_matched_iou_iou001,panoptic_quality_iou001,true_positives_iou05,false_positives_iou05,false_negatives_iou05,precision_iou05,recall_iou05,f1_iou05,mean_matched_iou_iou05,panoptic_quality_iou05
chunk_z5_y55_x5000_z000128_y000384_x000768,6.478149630012922,71,96,-25,0.7184841083600721,0.5606517352201101,57,14,39,0.8028169014084507,0.59375,0.6826347305389222,0.4676706065683648,0.31924819849576996,28,43,68,0.39436619718309857,0.2916666666666667,0.33532934131736525,0.6275295069299247,0.21042905621602265
chunk_z5_y55_x5000_z000128_y000384_x000896,6.372414859943092,84,94,-10,0.7005361207619504,0.5390962626623489,60,24,34,0.7142857142857143,0.6382978723404256,0.6741573033707866,0.40454804878044304,0.2727290216497369,21,63,73,0.25,0.22340425531914893,0.23595505617977527,0.5913459458062023,0.1395310658643848
chunk_z5_y55_x5000_z000128_y000384_x001024,6.550773841096088,77,97,-20,0.7089063138006686,0.5490742626799747,50,27,47,0.6493506493506493,0.5154639175257731,0.5747126436781609,0.46604446966759705,0.2678416492342512,22,55,75,0.2857142857142857,0.2268041237113402,0.2528735632183908,0.6127267719276603,0.15494240209664972
chunk_z5_y55_x5000_z000128_y000384_x001152,6.3458196899155155,90,100,-10,0.7561054877003894,0.6078533832443422,62,28,38,0.6888888888888889,0.62,0.6526315789473685,0.5270656497786739,0.34397968722397665,40,50,60,0.4444444444444444,0.4,0.4210526315789474,0.6243401680133782,0.26288007074247505
chunk_z5_y55_x5000_z000128_y000512_x000000,6.4053063209867105,61,123,-62,0.243528071077764,0.13864615031291266,28,33,95,0.45901639344262296,0.22764227642276422,0.30434782608695654,0.144413669096963,0.043951986246901775,0,61,123,0.0,0.0,0.0,0.0,0.0
chunk_z5_y55_x5000_z000128_y000512_x000128,6.447959079989232,114,154,-40,0.35489813994685565,0.21573019188938902,31,83,123,0.2719298245614035,0.2012987012987013,0.23134328358208955,0.15471112384072025,0.03579137939598752,0,114,154,0.0,0.0,0.0,0.0,0.0
chunk_z5_y55_x5000_z000128_y000512_x000256,6.297950544045307,56,150,-94,0.33142793963182043,0.1986296831307897,36,20,114,0.6428571428571429,0.24,0.34951456310679613,0.2129091750946968,0.0744148573146513,3,53,147,0.05357142857142857,0.02,0.029126213592233014,0.5808869649066603,0.016919037812815348
chunk_z5_y55_x5000_z000128_y000512_x000384,6.306816017953679,59,136,-77,0.40019875070982397,0.2501552932824563,32,27,104,0.5423728813559322,0.23529411764705882,0.3282051282051282,0.2481685546376176,0.08145019229132065,2,57,134,0.03389830508474576,0.014705882352941176,0.020512820512820513,0.5368866240891375,0.011013058955674615
chunk_z5_y55_x5000_z000128_y000512_x000512,6.4006686569191515,46,108,-62,0.21818429059509442,0.1224505370804953,27,19,81,0.5869565217391305,0.25,0.35064935064935066,0.13366027860559462,0.046867889900663054,0,46,108,0.0,0.0,0.0,0.0,0.0
chunk_z5_y55_x5000_z000128_y000512_x000640,6.42400436103344,57,118,-61,0.5371208136068736,0.3671668984034137,42,15,76,0.7368421052631579,0.3559322033898305,0.48,0.30028228598791307,0.14413549727419825,6,51,112,0.10526315789473684,0.05084745762711865,0.06857142857142857,0.5893180970918762,0.04041038380058579
chunk_z5_y55_x5000_z000128_y000512_x000768,6.512108082999475,104,120,-16,0.6895045738383953,0.5261403894082485,60,44,60,0.5769230769230769,0.5,0.5357142857142857,0.41767950010659116,0.2237568750571024,22,82,98,0.21153846153846154,0.18333333333333332,0.1964285714285714,0.5724293639908189,0.11244148221248228
chunk_z5_y55_x5000_z000128_y000512_x000896,6.354390540043823,86,115,-29,0.707818155494426,0.5477697728876988,59,27,56,0.686046511627907,0.5130434782608696,0.5870646766169155,0.487222875851796,0.28603134005229813,28,58,87,0.32558139534883723,0.24347826086956523,0.27860696517412936,0.6225626521310607,0.17345029114099203
chunk_z5_y55_x5000_z000128_y000512_x001024,6.419185717008077,75,91,-16,0.7133869040012628,0.5544688657529124,51,24,40,0.68,0.5604395604395604,0.6144578313253013,0.48641131267968496,0.29887924032125224,26,49,65,0.3466666666666667,0.2857142857142857,0.3132530120481928,0.6304830726862789,0.19750072156437654
chunk_z5_y55_x5000_z000128_y000512_x001152,6.302901767077856,68,100,-32,0.7879977691020635,0.650161979089972,52,16,48,0.7647058823529411,0.52,0.6190476190476191,0.5578174547202953,0.3453155672078018,34,34,66,0.5,0.34,0.40476190476190477,0.665400314708919,0.26932869881075294
chunk_z5_y55_x5000_z000128_y000640_x000000,6.353303511044942,64,139,-75,0.42455251248755294,0.26948058621611065,42,22,97,0.65625,0.302158273381295,0.4137931034482759,0.2589305570795993,0.10714367879155832,6,58,133,0.09375,0.04316546762589928,0.059113300492610835,0.557355984986613,0.03294715182186875
chunk_z5_y55_x5000_z000128_y000640_x000128,6.446396976010874,100,151,-51,0.4342980321092496,0.27738231222530696,25,75,126,0.25,0.16556291390728478,0.19920318725099603,0.19163245842716903,0.038173796499436065,1,99,150,0.01,0.006622516556291391,0.00796812749003984,0.5207305034550839,0.00414924703948274
chunk_z5_y55_x5000_z000128_y000640_x000256,6.392528292955831,77,164,-87,0.5399518567856225,0.36981784422319686,48,29,116,0.6233766233766234,0.2926829268292683,0.3983402489626555,0.2628308263132384,0.10469609678867588,7,70,157,0.09090909090909091,0.042682926829268296,0.05809128630705394,0.5889848188315817,0.034214885741253705
chunk_z5_y55_x5000_z000128_y000640_x000384,6.446652287035249,72,138,-66,0.6221707446551807,0.4515586690017513,49,23,89,0.6805555555555556,0.35507246376811596,0.4666666666666667,0.38177446162973283,0.17816141542720867,14,58,124,0.19444444444444445,0.10144927536231885,0.13333333333333336,0.613497540452295,0.081799672060306
chunk_z5_y55_x5000_z000128_y000640_x000512,6.4041532459668815,78,159,-81,0.5181742891322352,0.3496863938396572,53,25,106,0.6794871794871795,0.3333333333333333,0.44725738396624476,0.29894583224141025,0.133705730875905,9,69,150,0.11538461538461539,0.05660377358490566,0.07594936708860758,0.5523845975349757,0.041953260572276635
chunk_z5_y55_x5000_z000128_y000640_x000640,6.466663550003432,84,124,-40,0.6494471246210989,0.4808750079028893,62,22,62,0.7380952380952381,0.5,0.5961538461538461,0.4037421397603921,0.2406924294725414,23,61,101,0.27380952380952384,0.18548387096774194,0.22115384615384617,0.5822913804792751,0.12877597837522428
chunk_z5_y55_x5000_z000128_y000640_x000768,6.330072948010638,82,128,-46,0.5945198796650134,0.4230012727062363,59,23,69,0.7195121951219512,0.4609375,0.5619047619047619,0.3592480033804719,0.20186316380426517,17,65,111,0.2073170731707317,0.1328125,0.1619047619047619,0.5556936332025993,0.08996944537565894
chunk_z5_y55_x5000_z000128_y000640_x000896,6.395357459085062,75,112,-37,0.6722745490309284,0.5063355142738681,47,28,65,0.6266666666666667,0.41964285714285715,0.5026737967914437,0.3886927422777532,0.19538565654603637,12,63,100,0.16,0.10714285714285714,0.12834224598930483,0.6068077451468314,0.07787906889585003
chunk_z5_y55_x5000_z000128_y000640_x001024,6.434795469045639,78,107,-29,0.7356393823629697,0.5818271876719868,56,22,51,0.717948717948718,0.5233644859813084,0.6054054054054053,0.4735729767716802,0.28670363999150367,28,50,79,0.358974358974359,0.2616822429906542,0.30270270270270266,0.6229365746789517,0.18856458476768267
chunk_z5_y55_x5000_z000128_y000640_x001152,6.507475454011001,70,90,-20,0.706207699585183,0.545843176960288,47,23,43,0.6714285714285714,0.5222222222222223,0.5875,0.4273551631630281,0.251071158358279,19,51,71,0.2714285714285714,0.2111111111111111,0.23750000000000002,0.6131127361275142,0.1456142748302846
chunk_z5_y55_x5000_z000128_y000768_x000000,6.3920020459918305,84,170,-86,0.43675144531481225,0.279387077637674,52,32,118,0.6190476190476191,0.3058823529411765,0.40944881889763785,0.2743577221104147,0.11233544527355563,8,76,162,0.09523809523809523,0.047058823529411764,0.06299212598425197,0.5673094168180417,0.0357360262562546
chunk_z5_y55_x5000_z000128_y000768_x000128,6.466727750026621,109,130,-21,0.3998928926631474,0.2499163279942625,33,76,97,0.30275229357798167,0.25384615384615383,0.2761506276150628,0.22141131989382695,0.06114287494975974,3,106,127,0.027522935779816515,0.023076923076923078,0.02510460251046025,0.5523365112081128,0.013866188565894045
